# Devanagari

snLithtwo 0DE8
snLiththree 0DE9
snLithfour 0DEA
snLithfive 0DEB
snLithsix 0DEC
snLithseven 0DED
snLitheight 0DEE
snLithnine 0DEF

snKunddaliya 0DF4

# Ol Chiki

olLa 1C5A
olAt 1C5B
olAg 1C5C
olAng 1C5D
olAl 1C5E
olLaa 1C5F
olAak 1C60
olAaj 1C61
olAam 1C62
olAaw 1C63
olLi 1C64
olIs 1C65
olIh 1C66
olIny 1C67
olIr 1C68
olLu 1C69
olUc 1C6A
olUd 1C6B
olUnn 1C6C
olUy 1C6D
olLe 1C6E
olEp 1C6F
olEdd 1C70
olEn 1C71
olErr 1C72
olLo 1C73
olOtt 1C74
olOb 1C75
olOv 1C76
olOh 1C77

olMu 1C78
olGaahlaa 1C79
olMu_Gaahlaa 1C7A
olRelaa 1C7B
olPhaarkaa 1C7C
olAhad 1C7D

olZero 1C50
olOne 1C51
olTwo 1C52
olThree 1C53
olFour 1C54
olFive 1C55
olSix 1C56
olSeven 1C57
olEight 1C58
olNine 1C59

olMucaad 1C7E
olDoublemucaad 1C7F
