# Devanagari
#
0A6C;grSix;GURMUKHI DIGIT SIX
0A6D;grSeven;GURMUKHI DIGIT SEVEN
0A6E;grEight;GURMUKHI DIGIT EIGHT
0A6F;grNine;GURMUKHI DIGIT NINE
#
# Bangla
#
0985;bnA;BENGALI LETTER A
0986;bnAA;BENGALI LETTER AA
0987;bnI;BENGALI LETTER I
0988;bnII;BENGALI LETTER II
0989;bnU;BENGALI LETTER U
098A;bnUU;BENGALI LETTER UU
098B;bnvR;BENGALI LETTER VOCALIC R
09E0;bnvRR;BENGALI LETTER VOCALIC RR
098C;bnvL;BENGALI LETTER VOCALIC L
09E1;bnvLL;BENGALI LETTER VOCALIC LL
098F;bnE;BENGALI LETTER E
0990;bnAI;BENGALI LETTER AI
0993;bnO;BENGALI LETTER O
0994;bnAU;BENGALI LETTER AU
#
09BE;bnmAA;BENGALI VOWEL SIGN AA
09BF;bnmI;BENGALI VOWEL SIGN I
09C0;bnmII;BENGALI VOWEL SIGN II
09C1;bnmU;BENGALI VOWEL SIGN U
09C2;bnmUU;BENGALI VOWEL SIGN UU
09C3;bnmvR;BENGALI VOWEL SIGN VOCALIC R
09C4;bnmvRR;BENGALI VOWEL SIGN VOCALIC RR
09E2;bnmvL;BENGALI VOWEL SIGN VOCALIC L
09E3;bnmvLL;BENGALI VOWEL SIGN VOCALIC LL
09C7;bnmE;BENGALI VOWEL SIGN E
09C8;bnmAI;BENGALI VOWEL SIGN AI
09CB;bnmO;BENGALI VOWEL SIGN O
09CC;bnmAU;BENGALI VOWEL SIGN AU
#
09D7;bnAUlengthmark;BENGALI AU LENGTH MARK
#
0995;bnKA;BENGALI LETTER KA
0996;bnKHA;BENGALI LETTER KHA
0997;bnGA;BENGALI LETTER GA
0998;bnGHA;BENGALI LETTER GHA
0999;bnNGA;BENGALI LETTER NGA
099A;bnCA;BENGALI LETTER CA
099B;bnCHA;BENGALI LETTER CHA
099C;bnJA;BENGALI LETTER JA
099D;bnJHA;BENGALI LETTER JHA
099E;bnNYA;BENGALI LETTER NYA
099F;bnTTA;BENGALI LETTER TTA
09A0;bnTTHA;BENGALI LETTER TTHA
